# Item 243
## content
| 品目 | 種類 | 備考 |
|---|---|---|
| テニス | 木製 | 燃やせる |
| ラケット | その他 | 燃やせない |
| 手袋 | | 燃やせる |
| テレビ | 家電リサイクル | 販売店から引き取ります（別途リサイクル料金が必要です） |
| 電気カーペット | 燃やせる | 指定袋（黄色）に入れる。外せるコードは「資源（金属類）」 |
| 電気コード | 資源（金属類） | |
| 電気シェーバー（ひげそり） | 資源（金属類） | 電池は外す。充電式は指定袋（赤色）に入れる |
| 電気ストーブ | 資源（金属類） | 電気コード（ベルトヒーター含む、80cm以上のものは「粗大ごみ」） |
| 電気毛布 | 燃やせる | 指定袋（黄色）に入れる。外せるコードは「資源（金属類）」 |
| 電気釜 | 燃やせない | われもの仕様に包むなど安全に配慮してください。販売店の回収も利用ください |
| 電子オルガン | 粗大ごみ | |
| 電子たばこ | 資源（金属類） | 指定袋（赤色）に入れる |
| 電子ピアノ | 粗大ごみ | |
| 電子レンジ | 粗大ごみ | |
| 電卓 | 資源（金属類） | 電池は外す |
| 電池（乾電池以外） | 資源（金属類） | 電池は外す |
| テント | 粗大ごみ | ニカドバッテリー、リチウムイオンバッテリー電池は、リサイクル協力店の回収を利用ください。80cm未満のものは「燃やせないごみ」 |
| 電動アシスト自転車 | 粗大ごみ | バッテリーはリサイクル協力店に引き取ってもらう |
| 電動かみそり | 資源（金属類） | 電池は外す。充電式は指定袋（赤色）に入れる |
| 天ぷら油 | 植物性 | 資源（天ぷら油） | 「燃やせるごみ」で出す場合は、固めるか、布又は紙にしみ込ませる |
| 天ぷら油 | 動物性 | 燃やせる | 固めるか、布又は紙にしみ込ませる |
| 電話機 | 資源（金属類） | |
| トースター | 資源（金属類） | |
| 砥石 | 燃やせない | |
| トイレットペーパーの包装 | 資源（プラス容器） | |
| トイレットペーパーの芯 | 資源（雑がみ） | 家庭用ラップの芯も含む |
| トイレの便座 | 燃やせない | |
| 陶磁器 | 燃やせない | われもの仕様に包むなど安全に配慮してください |
| 鍋類 | 資源（金属類） | 先のとがったものは、紙に包むなど安全に配慮してください |
| 灯油（少量） | 燃やせる | 布又は紙にしみ込ませる。多量の場合は販売店に引き取ってもらう |
| 灯油ポリタンク | 燃やせない | 中を空にする |
| 灯油 | 自動車（プラスチック製） | 燃やせない | |
| ポンプ | 電動式 | 資源（金属類） | 電池は外す |
| 時計 | 資源（金属類） | 電池は外す。充電式は指定袋（赤色）に入れる |
| トタン板 | 粗大ごみ | |
| 土鍋 | 燃やせない | われもの仕様に包むなど安全に配慮してください |
| ドライバー（工具類） | 資源（金属類） | 電動のものは電池を外す。充電式は指定袋（赤色）に入れる |
| ドライヤー | 資源（金属類） | 充電式は指定袋（赤色）に入れる |
| ドリンク用びん | 資源（ガラスびん） | 金属類のふたは「資源（金属類）」 |
| 塗料 | 燃やせる | 布又は紙にしみ込ませる |
| 塗料缶 | 資源（無塗料） | 中を空にする。塗料付着のものは「燃やせないごみ」 |
| トレイ（発泡スチロール製） | 資源（プラス容器） | スーパーなどの回収もご利用ください |
| ナイフ | 資源（金属類） | 刃物は紙に包むなど安全に配慮してください |
| 長靴 | 燃やせない | |
| なべ・やかん・フライパン | 資源（金属類） | ホーローも含む |
| 生ごみ | 燃やせる | しっかり水切りし、腐敗しないよう注意してください |
| 2段ベッド | 粗大ごみ | 収集の場合は、1段で1点扱い |
| 庭木 | 燃やせる | 指定袋（黄色）に入れるか、50cmに切ってひもで束ねてください。束ねる場合は1m以内にする |
| 人形（紙・木・布製・30cm以下のプラスチック製） | 燃やせる | 80cm以上のものは「粗大ごみ」 |

ページ番号: 8

